author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
H93	male	0.452	0	129.63	4.065	8.13	18.97	9.937	38.392	9.485	0	2.71	0	1.807	0.452	0	4.968	0.452	0.903	0	0	0	61.427	48.329	1.355	0	0.452	10.84	19.874	1.807	0.121	3.91
H94	female	73.592	7.371	32.819	4.967	2.768	23.919	19.257	84.255	8.201	8.492	16.257	0.321	1.311	2.491	0.903	12.921	0.539	0.728	0.874	0.16	1.049	73.096	60.278	1.559	0.699	0.568	9.629	21.078	3.059	0.076	4.352
H97	female	72.067	13.533	31.712	4.68	5.623	26.49	19.191	73.586	12.451	11.717	12.852	0.524	2.27	3.545	0.419	15.489	1.676	1.205	0.454	0.21	0.367	76.817	71.107	1.991	0.96	0.384	12.678	19.366	3.143	0.068	4.199
H98	male	72.629	7.87	27.399	5.582	4.833	17.477	10.336	44.599	4.833	6.016	13.966	0.552	2.229	1.953	0.789	8.561	0.039	0.316	1.795	0.375	0.197	79.592	53.535	0.828	0.099	1.006	10.099	3.511	8.048	0.083	4.445
H99	female	5.766	3.966	48.9	1.362	2.019	0.803	0.024	4.063	5.766	43.013	9.902	2.311	2.044	2.214	0.292	15.23	2.092	0.657	2.944	0.195	0.487	119.307	37.904	1.8	0.122	0.073	19.244	0	11.726	0.074	5.183
H9C	male	78.831	8.431	26.191	6.323	4.216	15.524	12.665	48.424	5.627	5.572	11.492	0.624	1.705	1.356	0.788	8.834	0.073	0.165	1.924	0.183	0.293	76.081	51.741	1.338	0.293	0.99	10.319	3.501	6.36	0.08	4.431
H9D	male	65.315	11.734	33.595	2.934	4.448	22.92	12.927	48.263	13.778	7.93	10.012	0.417	3.293	2.044	0.511	11.621	0.606	0.7	1.249	0.246	1.117	79.302	65.978	1.817	0.568	2.385	12.188	22.56	3.615	0.083	4.199
H9E	male	58.271	5.952	66.729	4.073	5.639	35.088	13.471	19.424	15.038	1.88	3.133	0	2.82	2.193	0.627	11.905	0.313	0	0.94	0	0.313	42.293	48.559	2.82	0	3.133	14.411	33.521	2.193	0.122	3.992
H9F	male	13.869	9.059	36.819	1.682	3.969	3.279	0	7.334	5.328	48.402	7.161	2.092	2.826	2.308	0.129	8.649	0.69	0.906	3.667	0.992	0.302	139.813	47.798	2.329	0.755	0.086	6.795	0.022	14.322	0.072	5.28
H9G	female	59.502	11.916	34.385	5.553	6.482	19.92	11.817	49.365	13.418	7.529	14.643	0.356	2.964	2.609	0.356	13.774	1.759	0.81	1.008	0.296	1.087	91.279	68.83	2.134	0.336	1.344	12.786	13.932	6.996	0.092	4.108
H9H	female	68.51	10.886	31.148	3.716	8.219	19.922	12.69	55.881	12.243	7.987	11.596	0.447	1.634	3.531	0.663	14.202	1.742	1.295	0.355	0.123	0.971	74.046	74.971	2.668	0.725	1.326	11.688	22.081	5.181	0.072	4.273
H9L	female	67.251	12.147	33.524	3.352	7.609	27.77	21.315	63.914	13.799	13.675	17.183	0.53	1.746	3.773	0.405	15.421	1.481	1.029	0.608	0.172	2.105	73.098	77.433	3.259	0.795	0.499	11.04	21.97	4.179	0.07	4.377
H9N	male	83.122	14.663	17.382	3.766	4.568	46.619	7.198	40.135	12.413	10.786	9.805	0.669	2.162	1.761	0.624	14.374	0.446	0.446	1.694	0.468	0.535	84.481	56.469	1.827	0.802	1.203	11.632	15.555	4.546	0.109	4.246
H9S	male	6.314	2.225	47.673	1.78	2.225	0.233	0.064	3.687	3.263	51.613	14.959	2.967	1.208	1.907	0.191	9.45	0.042	0.191	1.759	0.127	0.53	113.588	45.469	2.098	0.106	0	14.853	0	11.102	0.097	5.37
H9T	female	21.911	2.712	59.551	4.556	4.447	18.983	8.678	30.372	5.207	7.159	22.237	0.108	1.627	0.217	0.542	6.4	0.108	0	0.868	0.217	0	112.702	46.317	0.868	0.108	0.868	3.796	4.664	10.63	0.263	4.614
H9U	female	91.692	6.788	26.912	5.517	7.74	38.781	9.923	42.472	13.853	3.771	5.756	0.318	3.612	2.858	1.072	11.352	0.635	0.794	0.476	0.119	0.318	70.496	65.971	1.548	0.476	1.469	6.709	13.218	6.311	0.064	4.043
H9V	female	80.862	9.733	27.469	4.36	4.544	20.864	17.184	83.99	12.161	6.384	17.331	0.46	1.196	2.337	1.067	16.688	1.637	1.049	0.35	0.11	1.306	66.456	81.929	4.232	1.509	1.821	9.825	20.11	4.305	0.071	4.193
H9X	male	71.262	15.43	14.196	2.065	5.412	37.388	0.475	32.498	8.997	16.427	10.065	1.069	1.828	7.738	0.688	16.142	0.546	2.041	1.211	1.282	1.733	107.036	57.755	2.611	0.688	0.332	11.228	0.546	4.225	0.11	4.472
H9Y	female	47.634	7.647	44.13	2.61	4.745	44.805	12.611	20.678	12.319	7.775	11.662	0.42	1.697	1.953	0.584	12.903	0.256	0.584	1.716	0.383	0.913	84.153	63.384	2.008	0.748	1.351	9.765	19.93	6.059	0.118	4.269
HA0	male	58.016	8.035	40.934	3.93	4.241	40.136	9.455	33.872	8.852	10.837	12.257	0.448	1.79	2.315	0.603	11.479	0.661	0.603	1.342	0.253	0.486	90.856	56.342	2.86	0.992	0.934	9.359	7.568	5.136	0.111	4.358
HA1	male	67.368	11.089	11.367	6.16	4.312	5.902	1.411	18.382	13.553	15.818	8.585	0.675	1.868	2.246	0.179	10.771	1.192	1.053	1.371	0.537	0.298	104.231	43.381	1.153	0.656	0.099	5.266	4.809	4.968	0.115	4.708
HA2	female	69.686	12.668	24.608	3.428	3.684	15.21	8.019	46.753	9.851	10.166	8.354	0.749	2.581	2.266	0.768	12.728	0.02	0.512	1.537	0.729	0.158	86	54.87	1.556	0.611	1.103	11.664	14.126	5.359	0.096	4.407
HA3	male	75.558	6.183	30.078	7.599	4.321	13.726	9.275	33.747	13.614	7.245	11.901	0.596	3.185	2.384	0.391	9.703	1.937	0.708	0.428	0.223	0.596	85.876	61.944	2.03	0.652	1.453	8.903	10.839	3.93	0.093	4.39
HA4	female	66.978	12.324	27.228	3.116	4.961	17.226	8.811	47.172	11.907	6.946	13.574	0.417	2.282	4.604	0.774	16.075	0.675	0.734	1.369	0.318	0.516	77.714	70.431	3.572	0.814	1.588	15.241	12.741	5.815	0.077	4.299
HA5	female	62.499	13.711	25.103	4.431	4.511	22.138	14.211	75.34	9.248	15.21	17.949	0.419	1.353	2.884	0.467	16.853	0.532	1.112	1.998	0.322	1.08	89.084	59.824	2.739	0.387	0.918	10.634	15.468	4.608	0.09	4.451
HA6	female	65.213	8.303	35.957	6.121	3.921	25.471	25.676	70.294	11.542	9.462	16.077	0.239	2.643	2.933	0.818	15.975	1.551	0.835	0.563	0.068	0.46	76.977	66.423	1.33	0.733	0.87	15.429	22.471	2.813	0.077	4.16
HA7	female	73.015	10.967	28.079	4.297	6.205	25.78	16.631	60.004	10.712	10.952	12.139	0.285	1.728	4.763	0.361	13.762	1.112	1.007	0.962	0.571	0.616	73.345	74.096	2.013	0.706	2.058	12.455	21.048	2.824	0.072	4.271
HA9	female	65.865	12.009	27.406	5.235	5.073	18.119	17.763	79.949	8.411	8.282	15.267	0.616	1.378	1.912	0.681	17.196	0.972	0.583	0.729	0.113	0.989	79.138	82.493	2.658	0.486	1.556	12.123	24.618	2.318	0.07	4.246
HD4	female	30.462	9.473	51.656	3.271	6.815	37.413	9.2	16.355	8.791	12.062	8.655	0.681	1.09	2.249	0.545	17.923	0.068	0.545	2.317	0.545	0.613	98.542	75.031	1.976	0.204	0.477	9.268	1.976	12.403	0.175	4.31
HD5	female	10.4	2.997	54.821	3.173	2.644	8.814	5.817	10.048	8.461	55.526	12.868	0.705	1.234	2.821	0.529	15.688	0.529	0.353	3.878	0.353	0.705	108.761	41.953	0.705	0.176	0.176	18.685	0.176	17.099	0.214	5.113
HD6	female	67.383	10.422	30.072	3.421	6.126	58.234	6.126	30.072	12.092	9.547	13.842	0.876	2.625	3.818	0.716	17.263	0.318	0.796	1.909	0.398	0.875	85.68	66.508	3.341	0.557	1.193	14.319	9.308	5.569	0.161	4.191
HD7	female	59.226	9.374	31.246	3.716	4.391	48.22	8.107	32.963	12.639	14.666	9.12	0.704	2.928	2.984	0.901	13.089	0.957	0.619	0.985	0.45	0.366	87.628	58.719	1.661	0.338	1.013	16.045	17.03	5.714	0.122	4.276
HD8	female	7.493	5.62	65.991	3.661	4.683	11.24	1.192	36.444	7.578	21.458	11.41	0.681	2.044	2.98	0.255	15.582	0.341	0.681	3.236	0.766	0.766	111.972	59.52	3.917	1.277	0.341	12.857	1.022	11.24	0.175	4.499
HDA	female	49.269	8.228	49.753	3.969	3.388	42.203	13.358	11.132	10.26	10.357	10.648	1.162	4.065	2.516	0.194	18.198	0.871	0.968	3.291	0.581	1.452	94.183	63.692	2.033	0.29	0.194	8.906	3.097	6.679	0.173	4.261
HDB	female	64.752	6.729	35.663	4.244	6.056	64.648	3.882	12.008	8.696	5.952	11.128	0.466	3.468	2.019	0.673	18.271	0.518	0.466	2.64	0.983	1.76	91.925	67.288	2.07	0.673	0.466	10.249	2.743	9.161	0.111	4.112
HDC	female	70.796	13.244	33.865	5.269	4.766	20.118	14.849	52.474	15.783	5.844	18.896	0.216	2.611	1.604	0.934	12.478	1.341	0.551	1.653	0.144	1.174	79.01	63.539	1.461	0.695	0.838	10.945	23.207	4.263	0.089	4.146
HGD	female	79.989	13.959	28.209	4.668	6.383	24.923	18.263	77.488	13.218	6.543	12.054	0.712	2.385	3.417	0.742	18.554	1.323	0.814	0.829	0.204	1.134	70.77	82.839	2.661	1.512	0.872	16.388	9.233	3.199	0.053	4.14
HGE	female	72.018	16.85	24.841	3.739	6.945	18.686	14.312	68.501	8.603	5.809	11.53	0.523	0.79	6.4	0.712	17.484	0.156	0.835	2.07	1.669	0.69	71.639	65.986	3.061	0.768	0.768	13.723	4.151	5.097	0.059	4.22
HGF	female	74.477	9.089	31.298	4.513	4.807	29.367	9.257	55.144	11.335	4.177	11.608	0.315	2.309	1.868	0.546	10.768	0.588	0.315	0.735	0.189	0.294	77.73	51.428	1.637	1.322	1.49	9.55	16.268	8.166	0.107	4.165
HGG	female	55.892	11.178	25.295	4.418	5.282	16.998	10.429	54.49	9.392	8.797	9.776	0.518	3.15	2.497	0.48	13.56	1.325	0.73	1.018	0.211	0.403	94.766	66.34	2.919	0.442	0.48	17.19	3.054	9.181	0.091	4.223
HGH	male	14.647	7.617	68.549	2.812	2.929	27.42	7.031	13.007	13.007	17.928	9.491	0.82	3.75	3.047	0.586	17.342	0.352	1.406	3.164	0.586	1.055	96.438	57.417	2.578	1.055	0.234	13.007	5.507	6.445	0.193	4.588
HGJ	female	52.247	6.268	48.122	2.683	4.185	28.176	13.838	35.686	13.157	9.853	7.77	0.521	1.942	2.083	0.38	15.079	0.24	0.36	0.981	0.421	1.322	78.32	59.736	1.802	0.26	1.081	14.899	15.5	7.53	0.093	4.217
HGK	female	80.574	10.997	30.82	4.894	5.943	21.498	15.818	76.86	13.167	6.54	13.473	0.626	2.301	3.029	0.874	17.333	1.063	1.02	0.452	0.277	1.165	70.816	79.846	2.578	1.18	0.816	13.501	11.099	3.772	0.055	4.148
HGL	female	16.992	5.004	86.355	4.837	4.858	59.606	10.383	34.108	9.173	4.503	12.134	0.292	1.564	1.188	0.667	9.486	0.334	0.334	0.896	0.208	0.188	84.728	43.907	1.793	0.521	0.709	7.067	13.468	8.652	0.109	4.093
HGM	female	68.768	13.329	32.517	3.752	5.979	26.658	23.402	73.822	10.399	8.84	12.198	0.616	2.09	4.608	0.582	22.786	1.542	1.353	0.651	0.326	1.473	73.051	74.833	2.193	0.857	1.61	12.026	28.868	2.655	0.069	4.123
HGN	female	14.13	6.802	77.668	4.016	5.011	37.685	17.042	29.327	8.847	7.906	9.697	0.398	1.429	1.646	0.579	11.941	0.778	0.398	0.543	0.054	0.814	80.219	62.018	1.9	0.977	1.936	10.529	23.429	4.215	0.11	4.28
HGR	male	11.207	4.752	59.292	0.925	1.745	0.252	0	2.691	5.53	40.937	11.123	2.796	3.028	2.902	0.484	17.304	3.532	1.367	1.64	0.231	0.399	108.576	42.913	1.829	0.168	0	9.671	0.252	6.728	0.073	5.157
HGS	male	66.777	9.852	27.724	5.025	5.675	49.3	11.468	26.66	10.029	12.67	13.261	0.828	2.128	3.645	0.611	13.576	1.084	0.768	1.32	0.532	0.67	93.929	63.703	2.699	0.965	0.808	13.162	3.133	5.635	0.101	4.328
HGT	female	74.578	9.643	34.841	5.736	6.061	23.87	17.433	67.465	11.209	7.752	14.841	0.263	1.916	1.941	0.601	12.762	1.553	0.651	0.451	0.1	0.676	67.615	77.985	1.916	0.764	2.016	11.772	22.367	5.122	0.056	4.215
HGU	male	18.78	5.093	109.373	3.697	4.97	17.139	9.476	57.833	13.271	2.84	9.035	0.171	1.445	0.906	0.784	11.753	0.245	0.024	0.416	0.171	0.612	63.317	53.058	1.273	1.053	0.686	6.93	21.742	3.599	0.078	4.011
HGV	female	64.394	10.408	33.377	3.667	5.292	25.67	20.136	58.18	9.827	6.489	13.186	0.494	1.921	2.602	0.582	13.625	1.307	0.626	0.362	0.11	0.395	75.45	62.374	2.668	0.659	1.318	13.967	6.829	2.031	0.058	4.194
HGW	female	4.849	2.078	60.51	4.873	2.508	1.218	25.226	5.017	9.508	11.538	12.972	0.836	2.723	1.481	0.43	18.776	1.839	0.406	1.744	0.239	0.717	89.797	62.086	1.433	0.812	0.119	22.885	4.181	19.039	0.088	4.556
HGX	male	16.683	2.981	52.159	2.311	3.216	1.072	0	0.703	6.8	37.084	10.452	2.412	2.144	3.517	0.167	12.026	0.268	0.569	1.005	0.234	0.603	107.869	45.325	2.311	0.268	0	12.461	0.1	7.437	0.09	4.989
HGY	female	70.554	7.775	32.766	3.563	3.725	22.352	19.161	63.265	12.488	6.252	13.929	0.356	1.231	2.446	1.101	16.472	1.085	0.615	0.745	0.162	2.575	60.901	74.846	2.446	0.486	1.911	12.504	23.291	2.77	0.061	4.158
HH0	female	10.866	3.636	92.493	8.084	4.712	46.633	8.896	27.947	13.242	8.043	13.039	0.508	1.462	1.706	0.467	12.247	0.528	0.305	0.873	0.183	0.792	89.569	69.136	1.665	0.934	0.914	7.17	13.08	4.306	0.112	4.219
HH1	female	74.796	11.827	20.904	5.963	5.933	14.951	11.679	73.12	6.515	8.92	17.819	0.759	1.557	2.868	0.808	15.779	1.291	0.769	0.749	0.177	0.434	79.32	68.064	3.725	0.986	0.522	12.823	12.615	3.804	0.057	4.361
HH4	male	17.748	4.683	55.999	1.793	3.048	8.739	0.269	15.596	7.821	34.912	13.423	1.972	1.837	4.37	0.605	16.224	0.515	1.636	5.781	1.479	1.188	112.804	48.716	2.398	0.314	0.067	10.219	0.605	8.089	0.1	5.135
HH5	male	74.502	6.657	27.389	4.767	4.911	46.579	8.63	30.635	5.774	5.116	9.986	0.698	1.315	1.171	0.678	8.63	0	0.39	2.157	0.37	0.452	84.118	51.716	1.068	0.103	2.26	8.773	5.548	7.109	0.092	4.353
HH6	male	3.013	2.249	63.233	6.026	1.846	0.042	8.276	3.14	9.909	11.522	17.548	2.398	2.461	2.165	0.17	17.442	0.276	0.509	2.355	0.191	0.297	97.163	46.597	1.655	0.191	0.085	20.413	2.143	8.594	0.064	4.535
HH7	male	28.44	8.872	44.688	1.721	2.705	0.963	0.041	16.597	11.105	30.407	7.909	1.475	2.602	6.536	0.123	17.58	0.041	1.742	2.541	1.106	1.537	113.8	41.307	2.848	0.082	0.143	15.654	0.266	5.491	0.06	4.491
HH8	female	76.68	12.398	25.146	4.512	5.159	23.677	10.912	66.24	12.206	8.394	10.842	0.437	2.571	2.431	0.577	14.217	0.297	0.682	0.734	0.21	0.857	75.316	65.733	2.606	1.364	0.997	11.296	15.738	4.249	0.08	4.305
HH9	female	85.835	10.935	29.572	3.371	3.371	18.029	13.777	73.842	13.581	3.802	10.778	0.157	2.469	1.999	0.529	12.248	0.901	0.372	0.608	0.059	1.097	70.55	66.375	2.783	0.862	1.078	12.091	22.85	5.311	0.073	4.04
HHA	female	72.672	12.248	28.726	4.507	6.941	21.459	17.278	68.769	10.844	9.309	11.644	0.408	2.09	2.335	0.474	16.592	0.67	0.49	0.523	0.229	0.555	68.606	75.252	2.858	0.784	1.078	12.819	22.128	3.968	0.076	4.252
HHB	female	68.565	10.367	37.365	3.879	4.373	23.344	20.354	66.746	11.468	10.367	13.682	0.508	1.791	3.907	0.621	19.113	1.707	0.748	0.987	0.127	1.255	78.354	59.453	2.779	0.889	0.889	14.076	23.316	2.581	0.057	4.193
HHC	male	57.667	13.474	39.351	6.105	6.169	25.513	19.451	40.829	11.139	5.955	11.932	0.579	2.314	1.842	0.685	18.68	1.007	0.664	1.05	0.236	0.343	86.265	61.78	1.821	0.364	0.857	15.509	25.941	4.092	0.069	4.076
HJD	male	70.923	10.757	17.869	6.757	6.403	8.531	6.324	55.832	7.447	10.717	18.617	0.709	0.63	1.616	0.236	12.727	0.355	0.709	1.005	0.039	0.276	96.436	65.545	2.266	0.63	0.887	7.289	8.865	5.339	0.1	4.463
HJH	female	72.9	9.423	33.735	4.601	4.435	16.398	13.582	61.507	16.601	6.405	14.558	0.424	2.779	2.227	0.497	12.993	0.534	0.479	0.865	0.239	1.049	77.335	63.9	1.656	0.718	1.288	11.465	21.312	7.03	0.08	4.171
HNJ	female	72.047	12.525	33.366	3.886	4.752	21.566	14.76	54.75	12.827	7.913	12.988	0.342	2.678	2.437	0.765	13.531	0.826	1.107	0.987	0.242	0.282	76.255	58.999	1.913	1.168	1.208	12.222	22.613	4.249	0.083	4.221
HNK	male	69.084	15.196	14.556	2.87	4.377	7.949	3.778	45.65	6.297	11.356	9.332	1.094	2.147	2.746	0.33	12.305	0.372	0.764	1.672	0.826	0.062	97.927	46.703	1.776	0.33	0.31	9.993	3.84	4.088	0.111	4.489
HNL	male	2.477	1.981	62.031	2.116	1.419	3.76	0.315	3.445	3.918	32.806	9.749	1.216	1.936	3.941	0.203	9.997	1.779	0.856	0.54	0.09	1.621	111.431	31.387	1.036	0.045	0.068	11.528	0.068	5.246	0.06	4.616
HNM	male	13.658	5.048	48.146	1.769	1.769	2.736	0.212	5.685	4.954	39.253	10.238	1.439	2.099	5.685	0.189	10.191	0.519	0.967	2.878	0.519	0.472	116.673	34.063	1.958	0.094	0.094	16.276	0.094	7.997	0.074	4.777
HNP	male	32.387	3.566	56.307	4.011	5.348	30.605	10.4	28.079	9.954	7.874	12.925	0.297	2.674	0.297	0.297	8.765	0.446	0.149	0.149	0	0.149	104.591	50.958	2.08	0.149	0.594	11.142	8.32	7.577	0.264	4.288
HNR	female	37.405	6.944	50.821	4.893	6.155	36.932	17.361	26.515	11.521	5.524	12.942	0	1.736	1.105	0.631	11.837	0.158	0	0.631	0.158	0.316	83.807	57.607	1.578	0.316	1.105	10.259	19.097	6.944	0.241	4.238
HNS	male	45.713	7.59	40.538	8.798	3.968	25.875	13.628	17.25	8.798	5.003	12.248	0	1.208	1.553	0.518	12.248	1.898	0.173	1.208	0.173	0	110.574	52.441	1.553	0.345	0.518	6.556	9.66	7.245	0.306	4.359
HNT	male	28.87	3.388	40.212	4.714	3.241	22.536	5.155	27.545	2.504	7.954	15.466	0.295	0.884	0.736	1.031	11.489	0.442	0	0.442	0	0	100.604	37.266	1.326	0	0.736	8.101	2.062	6.481	0.347	4.719
HNU	male	28.514	4.496	44.25	6.034	5.088	27.922	9.82	16.801	6.152	11.122	14.671	0	3.313	0.237	0	7.927	0.237	0	0.237	0.118	0	118.788	42.357	1.065	0.355	0.828	5.797	6.981	6.981	0.293	4.492
HNV	male	7.906	3.188	55.805	1.531	2.496	0.482	0.252	7.613	8.431	44.019	14.344	1.888	2.852	3.314	0.273	13.946	0.965	1.028	0.86	0.315	0.776	119.222	32.82	1.405	0.168	0.063	16.484	0.105	9.982	0.076	4.885
HNX	male	46.165	8.726	35.609	7.741	2.815	26.179	8.726	16.89	8.023	6.334	16.467	0	0.985	0.422	0.422	10.978	1.407	0.422	0.141	0.281	0.141	109.641	46.305	1.97	0.422	0.281	5.911	8.726	8.867	0.323	4.543
HP0	male	69.043	8.927	29.188	4.797	6.538	18.261	11.02	53.468	12.964	8.334	9.853	0.481	2.093	2.908	0.685	13.316	1.204	0.759	0.537	0.185	0.407	79.674	63.839	2.297	0.704	1.426	14.242	10.445	5.223	0.091	4.199
HP1	female	26.072	7.556	57.784	3.086	6.066	34.479	9.897	33.947	15.75	5.002	12.876	0.532	1.383	0.957	0.213	12.451	0.532	0.213	0.426	0.106	0.532	81.196	56.401	1.277	0.745	1.064	11.599	23.199	5.108	0.223	4.223
HP2	male	52.533	6.765	9.625	1.611	2.819	3.141	0.262	11.477	7.269	46.231	8.92	1.751	2.235	4.47	0.221	13.873	0.805	1.53	2.457	0.524	0.644	130.759	42.546	2.255	0.584	0.04	9.222	0.242	8.86	0.099	5.075
HP3	male	20.365	9.047	35.88	1.548	2.305	0.516	0	9.495	7.431	53.528	9.426	1.582	1.72	7.19	0.172	20.4	0.241	2.305	2.958	1.41	0.998	120.747	36.19	1.858	0.103	0.069	17.166	0.034	8.531	0.104	5.053
HPN	male	15.762	6.624	44.61	1.239	3.195	0.341	0.054	8.94	5.673	42.869	10.25	1.778	2.244	5.978	0.072	9.963	0.197	1.113	2.675	0.592	1.149	128.337	38.273	2.262	0.269	0.036	11.058	0.072	8.258	0.079	5.274
HPP	male	28.485	6.212	43.818	4.01	3.594	27.758	4.82	6.233	7.293	21.358	11.427	1.226	2.41	3.865	0.54	16.788	0.104	0.457	2.119	0.291	1.891	105.815	55.785	2.223	0.374	0.145	14.856	3.241	6.378	0.096	4.604
HPR	male	75.024	8.231	30.221	6.82	9.643	18.462	6.585	40.687	12.347	5.88	12.347	0.236	1.999	1.881	1.058	12.935	0.941	0.353	0.823	0.118	0.823	76.905	75.024	1.764	1.411	1.529	10.113	19.167	7.291	0.166	4.145
HPT	female	49.77	8.259	18.522	3.018	4.387	2.065	0.735	29.719	4.943	17.609	7.584	1.053	1.628	3.077	0.278	13.142	0.973	1.012	1.151	0.476	0.655	118.796	48.857	2.025	0.357	0.139	7.743	0.715	9.35	0.104	4.886
HPU	male	15.95	3.275	48.389	1.01	3.387	5.855	0.179	7.874	7.762	32.708	12.294	1.795	2.714	4.061	0.381	17.274	1.458	1.593	3.073	0.718	0.538	124.372	53.19	2.288	0.494	0.045	13.483	0.112	10.656	0.078	5.117
HPV	female	58.231	9.123	3.58	2.48	3.494	0.82	0.022	23.336	6.966	27.067	8.799	1.639	1.251	4.745	0.108	17.081	0.129	2.049	2.157	0.712	0.776	126.059	41.344	1.984	0.194	0.129	7.571	0.108	9.08	0.107	4.989
HPW	female	56.09	8.705	10.15	1.642	3.917	1.603	0.237	22.179	6.212	24.217	7.835	1.524	2.097	3.185	0.237	13.928	1.345	1.266	1.583	0.376	0.534	128.818	34.94	1.939	0.277	0.158	6.469	0.138	11.218	0.097	4.778
HPX	female	17.885	4.015	44.388	2.352	2.819	1.095	0.122	15.452	7.523	53.371	11.335	1.582	2.616	4.908	0.71	18.818	0.243	1.156	4.988	1.054	1.359	125.439	40.9	1.582	0.284	0.101	14.418	0.385	16.973	0.079	5.049
HPY	male	8.928	3.015	59.287	1.508	2.78	12.785	0.529	9.065	9.653	34.773	8.576	1.39	4.288	6.07	0.352	13.412	1.234	2.31	4.601	1.194	0.764	104.123	56.565	2.741	0.411	0.157	19.403	0.196	4.523	0.069	4.864
HR0	male	48.659	8.026	17.705	4.84	3.65	3.267	0.202	13.168	6.997	22.767	10.688	1.633	1.775	3.549	0.222	11.555	0.302	1.109	2.581	0.907	0.565	131.216	52.168	3.872	0.565	0.081	6.977	0.383	10.002	0.11	4.886
HR1	female	23.691	2.894	49.424	7.514	7.276	0.218	0	3.033	7.89	13.917	5.829	2.994	2.458	0.377	0	3.37	0.04	0.139	2.062	0.397	0.456	114.49	46.272	2.28	0.357	0.397	0.952	0.04	16.395	0.086	4.97
HR3	male	5.095	1.946	50.708	2.733	2.034	0.765	0.503	2.34	3.958	33.346	12.223	1.312	0.722	2.033	0.306	10.911	1.465	0.743	1.378	0.262	0.7	115.477	29.935	0.984	0.153	0	13.907	0.087	11.458	0.084	4.887
HR4	male	59.523	11.39	39.978	4.396	5.057	25.263	16.06	36.128	14.009	8.793	12.62	0.547	2.506	2.164	1.025	12.893	1.162	0.433	1.207	0.342	1.002	74.398	70.685	1.595	0.888	1.298	14.625	23.964	5.103	0.098	4.253
HR5	male	19.348	1.997	57.047	4.619	6.491	29.21	9.737	8.488	5.742	10.86	11.609	0.125	0.624	1.123	0.25	6.99	0.499	0.499	0.25	0.125	0.125	106.603	48.433	2.122	0.25	0.999	8.987	0.624	7.49	0.299	4.57
HR7	male	73.711	4.995	40.12	6.746	3.186	40.061	13.511	29.992	11.092	6.392	9.086	0.138	2.655	2.261	0.59	8.673	1.534	0.944	1.082	0.354	0.452	78.726	48.774	1.377	0.649	0.865	8.3	16.127	5.723	0.097	4.201
HR8	male	74.028	11.515	28.167	5.657	3.731	13.14	9.931	48.409	10.653	7.423	11.315	0.381	2.327	2.528	0.702	13.883	0.702	0.863	0.562	0.221	0.401	86.145	58.34	1.986	1.083	0.903	10.633	8.406	4.093	0.085	4.287
HR9	male	74.9	9.445	34.321	4.645	3.984	45.263	11.408	36.342	12.341	5.714	10.475	0.389	3.479	2.487	0.719	13.138	1.224	0.525	0.661	0.078	0.466	83.005	64.717	1.302	1.263	0.622	9.134	13.39	4.237	0.079	4.051
HRA	male	81.201	5.822	35.817	6.762	4.757	19.648	13.418	41.763	11.714	5.094	12.069	0.213	1.526	1.598	0.515	11.306	0.461	0.177	0.426	0.142	0.39	64.499	65.528	1.615	0.603	1.757	9.531	15.921	5.307	0.081	4.353
HRB	female	46.379	11.186	22.437	3.707	5.299	18.512	4.296	29.132	6.389	17.684	10.575	1.417	1.003	2.703	0.283	15.045	1.177	1.417	0.981	0.458	0.24	121.977	55.864	3.227	0.48	0.131	10.096	0.262	7.588	0.109	4.632
HRC	female	61.028	12.742	25.733	5.779	3.949	12.721	9.458	40.554	8.917	5.675	10.996	0.229	2.224	2.079	0.333	14.259	1.372	0.561	1.081	0.333	0.478	95.325	47.746	1.933	0.208	0.665	15.008	6.485	7.358	0.09	4.31
HRD	male	7.712	5.52	51.338	2.564	4.652	5.148	0.724	7.464	8.456	37.981	14.204	1.282	2.295	2.77	0.393	14.7	1.096	0.827	2.274	0.372	0.93	108.485	54.212	1.964	0.455	0.083	15.61	0.227	11.413	0.085	5.221
HRE	male	49.512	7.94	10.534	4.917	6.632	0.992	0.045	7.286	4.805	25.218	12.271	1.917	2.662	1.714	0.09	15.181	0.722	1.06	1.444	0.316	0.293	137.933	42	1.579	0.293	0.226	3.18	0.271	7.308	0.116	4.903
HRF	male	65.662	7.116	24.12	3.189	5.123	16.166	3.09	30.957	9.807	10.724	13.276	1.037	1.834	2.412	0.439	13.974	1.216	1.056	1.575	0.339	1.196	98.732	48.678	1.794	0.458	0.339	6.697	7.415	6.179	0.111	4.529
HRG	male	3.096	2.381	60.077	1.559	2.598	1.191	0	1.624	3.615	48.819	10.608	2.771	0.909	3.183	0.195	10.392	0.39	0.498	2.446	0.368	0.758	122.6	38.059	1.58	0.26	0.022	15.457	0.022	5.217	0.073	4.96
HRJ	male	50.729	9.699	15.589	1.803	4.57	14.498	0.787	25.263	7.49	31.915	7.338	1.016	2.564	6.83	0.203	17.824	0.305	2.209	2.031	0.762	0.584	107.957	41.512	2.564	0.457	0.127	18.61	0.432	5.967	0.099	4.716
